image mean_l var_l entropy e_r e_g e_b clip tile PSNR SSIM
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.4 2 13.0854 0.7605
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.4 4 12.8492 0.7582
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.4 6 12.7241 0.7569
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.4 8 12.4875 0.7548
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.4 10 12.2714 0.7516
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.4 12 12.1532 0.7507
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.4 14 11.9185 0.7472
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.4 16 12.0952 0.7467
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.4 18 11.9854 0.7470
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.4 20 10.7822 0.7305
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.4 22 12.0681 0.7508
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.5 2 13.3226 0.7651
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.5 4 13.0071 0.7617
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.5 6 12.8462 0.7599
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.5 8 12.5546 0.7566
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.5 10 12.3897 0.7546
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.5 12 12.1532 0.7507
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.5 14 11.9185 0.7472
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.5 16 12.2280 0.7528
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.5 18 11.9854 0.7470
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.5 20 10.7822 0.7305
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.5 22 12.0681 0.7508
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.6 2 13.5849 0.7697
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.6 4 13.1529 0.7649
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.6 6 12.9884 0.7628
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.6 8 12.6932 0.7599
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.6 10 12.5094 0.7577
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.6 12 12.3277 0.7545
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.6 14 12.1257 0.7525
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.6 16 12.2280 0.7528
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.6 18 12.2065 0.7540
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.6 20 10.7822 0.7305
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.6 22 12.0681 0.7508
3 179.3413 4.5244 6.8596 6.4931 6.5335 6.8400 0.7 2 13.8386 0.7736
